time,q0,q1,q2,q3,q4,q5,q6,q7,q8
-0.032,0.993398,-0.84892,-0.984461,0.600805,1.1953,1.00994,0.15502,-2.07089,0.297041
-0.031,0.999919,-0.848313,-0.983339,0.600781,1.19527,1.00991,0.185794,-2.03024,0.297893
-0.03,1.00669,-0.847581,-0.982199,0.600728,1.19519,1.00982,0.21645,-1.98815,0.298728
-0.029,1.0137,-0.846732,-0.981043,0.600646,1.19507,1.00969,0.246945,-1.9447,0.299547
-0.028,1.02094,-0.845776,-0.979874,0.600536,1.19491,1.00951,0.277242,-1.89996,0.300348
-0.027,1.02839,-0.844723,-0.978697,0.600398,1.19471,1.00929,0.307316,-1.854,0.30113
-0.026,1.03606,-0.843585,-0.977514,0.600236,1.19448,1.00903,0.337144,-1.80688,0.301895
-0.025,1.04393,-0.842376,-0.976325,0.600052,1.19421,1.00873,0.366712,-1.75868,0.30264
-0.024,1.052,-0.841109,-0.975128,0.599848,1.19392,1.0084,0.396006,-1.70946,0.303365
-0.023,1.06028,-0.839799,-0.973916,0.599627,1.1936,1.00805,0.425011,-1.65929,0.304071
-0.022,1.06874,-0.838461,-0.972673,0.599392,1.19326,1.00767,0.453705,-1.60824,0.304756
-0.021,1.0774,-0.837114,-0.971364,0.599149,1.19291,1.00728,0.482053,-1.55638,0.305422
-0.02,1.08625,-0.835779,-0.969929,0.598899,1.19254,1.00687,0.509988,-1.5038,0.306068
-0.019,1.09527,-0.83448,-0.968256,0.598645,1.19218,1.00646,0.537386,-1.45061,0.306695
-0.018,1.10446,-0.833254,-0.966144,0.598383,1.1918,1.00604,0.564018,-1.39697,0.307307
-0.017,1.11377,-0.832154,-0.963243,0.598097,1.19138,1.00558,0.589473,-1.34315,0.307905
-0.016,1.12317,-0.831251,-0.959054,0.59777,1.19091,1.00505,0.613115,-1.28932,0.308491
-0.015,1.13269,-0.830559,-0.953871,0.59731,1.19024,1.00431,0.63527,-1.23548,0.30908
-0.014,1.14238,-0.830115,-0.947882,0.596556,1.18914,1.00309,0.65629,-1.18164,0.309673
-0.013,1.15226,-0.829997,-0.941145,0.595241,1.18723,1.00097,0.676563,-1.12779,0.310277
-0.012,1.16237,-0.830328,-0.933712,0.592934,1.18385,0.997229,0.696783,-1.07417,0.310886
-0.011,1.17274,-0.831126,-0.925522,0.589694,1.1791,0.991969,0.716893,-1.02153,0.311443
-0.01,1.18336,-0.832401,-0.916582,0.585643,1.17312,0.985372,0.736782,-0.969779,0.311963
-0.009,1.19423,-0.834185,-0.906907,0.580799,1.16592,0.977451,0.756518,-0.91881,0.312444
-0.008,1.20535,-0.836513,-0.896516,0.575182,1.1575,0.968227,0.77619,-0.868501,0.312868
-0.007,1.21674,-0.839418,-0.885419,0.568815,1.14787,0.957717,0.796392,-0.818749,0.312155
-0.006,1.22837,-0.84293,-0.873613,0.56173,1.13704,0.945956,0.818539,-0.769516,0.307621
-0.005,1.24025,-0.84709,-0.86111,0.553977,1.12506,0.933006,0.842657,-0.720585,0.299782
-0.004,1.25235,-0.851653,-0.848267,0.545991,1.11257,0.919581,0.867989,-0.671201,0.290318
-0.003,1.26463,-0.85634,-0.83542,0.538173,1.1002,0.906356,0.893862,-0.620772,0.280542
-0.002,1.27711,-0.861143,-0.822546,0.530522,1.08796,0.893334,0.920365,-0.569275,0.270651
-0.001,1.28981,-0.866052,-0.809622,0.523038,1.07585,0.88052,0.947583,-0.516688,0.260875
-0,1.30367,-0.871144,-0.796485,0.515208,1.06305,0.867034,0.973577,-0.462641,0.251565
